co_categoria_subcategoria,co_agrupamento,co_categoria_pai,no_categoria_subcategoria,st_cruz,st_asterisco,co_categ_subcateg_sp,st_registro_ativo,dt_inclusao,dt_atualizacao
K67.8,118,K67,Outras formas de comprometimento do peritonio em doencas infecciosas classificadas em outra parte,-,*,K678,S,-,-
K70,119,K70,Doenca alcoolica do figado,-,-,K70,S,-,-
K70.0,119,K70,Figado gorduroso alcoolico,-,-,K700,S,-,-
K70.1,119,K70,Hepatite alcoolica,-,-,K701,S,-,-
K70.2,119,K70,Fibrose e esclerose alcoolicas do figado,-,-,K702,S,-,-
K70.3,119,K70,Cirrose hepatica alcoolica,-,-,K703,S,-,-
K70.4,119,K70,Insuficiencia hepatica alcoolica,-,-,K704,S,-,-
K70.9,119,K70,"Doenca alcoolica do figado, sem outra especificacao",-,-,K709,S,-,-
K71,119,K71,Doenca hepatica toxica,-,-,K71,S,-,-
K71.0,119,K71,Doenca hepatica toxica com colestase,-,-,K710,S,-,-
K71.1,119,K71,Doenca hepatica toxica com necrose hepatica,-,-,K711,S,-,-
K71.2,119,K71,Doenca hepatica toxica com hepatite aguda,-,-,K712,S,-,-
K71.3,119,K71,Doenca hepatica toxica com hepatite cronica persistente,-,-,K713,S,-,-
K71.4,119,K71,Doenca hepatica toxica com hepatite cronica lobular,-,-,K714,S,-,-
K71.5,119,K71,Doenca hepatica toxica com hepatite cronica ativa,-,-,K715,S,-,-
K71.6,119,K71,Doenca hepatica toxica com hepatite nao classificada em outra parte,-,-,K716,S,-,-
K71.7,119,K71,Doenca hepatica toxica com fibrose e cirrose hepaticas,-,-,K717,S,-,-
K71.8,119,K71,Doenca hepatica toxica com outros transtornos do figado,-,-,K718,S,-,-
K71.9,119,K71,"Doenca hepatica toxica, sem outra especificacao",-,-,K719,S,-,-
K72,119,K72,Insuficiencia hepatica nao classificada em outra parte,-,-,K72,S,-,-
K72.0,119,K72,Insuficiencia hepatica aguda e subaguda,-,-,K720,S,-,-
K72.1,119,K72,Insuficiencia hepatica cronica,-,-,K721,S,-,-
K72.9,119,K72,"Insuficiencia hepatica, sem outras especificacoes",-,-,K729,S,-,-
K73,119,K73,Hepatite cronica nao classificada em outra parte,-,-,K73,S,-,-
K73.0,119,K73,"Hepatite cronica persistente, nao classificada em outra parte",-,-,K730,S,-,-
K73.1,119,K73,"Hepatite cronica lobular, nao classificada em outra parte",-,-,K731,S,-,-
K73.2,119,K73,"Hepatite cronica ativa, nao classificada em outra parte",-,-,K732,S,-,-
K73.8,119,K73,Outras hepatites cronicas nao classificada em outra parte,-,-,K738,S,-,-
K73.9,119,K73,"Hepatite cronica, sem outra especificacao",-,-,K739,S,-,-
K74,119,K74,Fibrose e cirrose hepaticas,-,-,K74,S,-,-
K74.0,119,K74,Fibrose hepatica,-,-,K740,S,-,-
K74.1,119,K74,Esclerose hepatica,-,-,K741,S,-,-
K74.2,119,K74,Fibrose hepatica com esclerose hepatica,-,-,K742,S,-,-
K74.3,119,K74,Cirrose biliar primaria,-,-,K743,S,-,-
K74.4,119,K74,Cirrose biliar secundaria,-,-,K744,S,-,-
K74.5,119,K74,"Cirrose biliar, sem outra especificacao",-,-,K745,S,-,-
K74.6,119,K74,Outras formas de cirrose hepatica e as nao especificadas,-,-,K746,S,-,-
K75,119,K75,Outras doencas inflamatorias do figado,-,-,K75,S,-,-
K75.0,119,K75,Abscesso hepatico,-,-,K750,S,-,-
K75.1,119,K75,Flebite da veia porta,-,-,K751,S,-,-
K75.2,119,K75,Hepatite reativa nao-especifica,-,-,K752,S,-,-
K75.3,119,K75,Hepatite granulomatosa nao classificada em outra parte,-,-,K753,S,-,-
K75.4,119,K75,Hepatite autoimune,-,-,K754,S,-,-
K75.8,119,K75,Outras doencas hepaticas inflamatorias especificadas,-,-,K758,S,-,-
K75.9,119,K75,"Doenca hepatica inflamatoria, sem outra especificacao",-,-,K759,S,-,-
K76,119,K76,Outras doencas do figado,-,-,K76,S,-,-
K76.0,119,K76,Degeneracao gordurosa do figado nao classificada em outra parte,-,-,K760,S,-,-
K76.1,119,K76,Congestao passiva cronica do figado,-,-,K761,S,-,-
K76.2,119,K76,Necrose hemorragica central do figado,-,-,K762,S,-,-
K76.3,119,K76,Infarto do figado,-,-,K763,S,-,-
K76.4,119,K76,Peliose hepatica,-,-,K764,S,-,-
K76.5,119,K76,Doenca hepatica veno-oclusiva,-,-,K765,S,-,-
K76.6,119,K76,Hipertensao portal,-,-,K766,S,-,-
K76.7,119,K76,Sindrome hepatorrenal,-,-,K767,S,-,-
K76.8,119,K76,Outras doencas especificadas do figado,-,-,K768,S,-,-
K76.9,119,K76,"Doenca hepatica, sem outra especificacao",-,-,K769,S,-,-
K77,119,K77,Transtornos do figado em doencas classificadas em outra parte,-,*,K77,S,-,-
K77.0,119,K77,Transtornos hepaticos em doencas infecciosas e parasitarias classificadas em outra parte,-,*,K770,S,-,-
K77.8,119,K77,Transtornos hepaticos em outras doencas classificadas em outra parte,-,*,K778,S,-,-
K80,120,K80,Colelitiase,-,-,K80,S,-,-
K80.0,120,K80,Calculose da vesicula biliar com colicistite aguda,-,-,K800,S,-,-
K80.1,120,K80,Calculose da vesicula biliar com outras formas de colecistite,-,-,K801,S,-,-
K80.2,120,K80,Calculose da vesicula biliar sem colecistite,-,-,K802,S,-,-
K80.3,120,K80,Calculose de via biliar com colangite,-,-,K803,S,-,-
K80.4,120,K80,Calculose de via biliar com colecistite,-,-,K804,S,-,-
K80.5,120,K80,Calculose de via biliar sem colangite ou colecistite,-,-,K805,S,-,-
K80.8,120,K80,Outras colelitiases,-,-,K808,S,-,-
K81,120,K81,Colecistite,-,-,K81,S,-,-
K81.0,120,K81,Colecistite aguda,-,-,K810,S,-,-
K81.1,120,K81,Colecistite cronica,-,-,K811,S,-,-
K81.8,120,K81,Outras colecistites,-,-,K818,S,-,-
K81.9,120,K81,"Colecistite, sem outra especificacao",-,-,K819,S,-,-
K82,120,K82,Outras doencas da vesicula biliar,-,-,K82,S,-,-
K82.0,120,K82,Obstrucao da vesicula biliar,-,-,K820,S,-,-
K82.1,120,K82,Hidropsia da vesicula biliar,-,-,K821,S,-,-
K82.2,120,K82,Perfuracao da vesicula biliar,-,-,K822,S,-,-
K82.3,120,K82,Fistula da vesicula biliar,-,-,K823,S,-,-
K82.4,120,K82,Colesterolose da vesicula biliar,-,-,K824,S,-,-
K82.8,120,K82,Outras doencas especificadas da vesicula biliar,-,-,K828,S,-,-
K82.9,120,K82,"Doenca da vesicula biliar, sem outra especificacao",-,-,K829,S,-,-
K83,120,K83,Outras doencas das vias biliares,-,-,K83,S,-,-
K83.0,120,K83,Colangite,-,-,K830,S,-,-
K83.1,120,K83,Obstrucao de via biliar,-,-,K831,S,-,-
K83.2,120,K83,Perfuracao de via biliar,-,-,K832,S,-,-
K83.3,120,K83,Fistula de via biliar,-,-,K833,S,-,-
K83.4,120,K83,Espasmo do esfincter de Oddi,-,-,K834,S,-,-
K83.5,120,K83,Cisto biliar,-,-,K835,S,-,-
K83.8,120,K83,Outras doencas especificadas das vias biliares,-,-,K838,S,-,-
K83.9,120,K83,"Doenca das vias biliares, sem outra especificacao",-,-,K839,S,-,-
K85,120,K85,Pancreatite aguda,-,-,K85,S,-,-
K85.0,120,K85,Pancreatite aguda idiop醫ica,-,-,K850,S,-,-
K85.1,120,K85,Pancreatite aguda biliar,-,-,K851,S,-,-
K85.2,120,K85,Pancreatite aguda induzida por 醠cool,-,-,K852,S,-,-
K85.3,120,K85,Pancreatite aguda induzida por droga,-,-,K853,S,-,-
K85.8,120,K85,Outras pancreatites agudas,-,-,K858,S,-,-
K85.9,120,K85,"Pancreatite aguda, n鉶 especificada",-,-,K859,S,-,-
K86,120,K86,Outras doencas do pancreas,-,-,K86,S,-,-
K86.0,120,K86,Pancreatite cronica induzida por alcool,-,-,K860,S,-,-
K86.1,120,K86,Outras pancreatites cronicas,-,-,K861,S,-,-
K86.2,120,K86,Cisto do pancreas,-,-,K862,S,-,-
K86.3,120,K86,Pseudocisto do pancreas,-,-,K863,S,-,-
K86.8,120,K86,Outras doencas especificadas do pancreas,-,-,K868,S,-,-
K86.9,120,K86,"Doenca do pancreas, sem outra especificacao",-,-,K869,S,-,-
K87,120,K87,"Transtornos da vesicula biliar, das vias biliares e do pancreas em doencas classificadas em outra parte",-,*,K87,S,-,-
K87.0,120,K87,Transtornos da vesicula biliar e das vias biliares em doencas classificadas em outra parte,-,*,K870,S,-,-
K87.1,120,K87,Transtornos do pancreas em doencas classificadas em outra parte,-,*,K871,S,-,-
K90,121,K90,Ma-absorcao intestinal,-,-,K90,S,-,-
K90.0,121,K90,Doenca celiaca,-,-,K900,S,-,-
K90.1,121,K90,Espru tropical,-,-,K901,S,-,-
K90.2,121,K90,Sindrome da alca cega nao classificada em outra parte,-,-,K902,S,-,-
K90.3,121,K90,Esteatorreia pancreatica,-,-,K903,S,-,-
K90.4,121,K90,Ma-absorcao devida a intolerancia nao classificada em outra parte,-,-,K904,S,-,-
K90.8,121,K90,Outras formas de ma-absorcao intestinal,-,-,K908,S,-,-
K90.9,121,K90,"Ma-absorcao intestinal, sem outra especificacao",-,-,K909,S,-,-
K91,121,K91,"Transtornos do aparelho digestivo pos-procedimentos, nao classificados em outra parte",-,-,K91,S,-,-
K91.0,121,K91,Vomitos pos-cirurgia gastrointestinal,-,-,K910,S,-,-
K91.1,121,K91,Sindromes pos-cirurgia gastrica,-,-,K911,S,-,-
K91.2,121,K91,Ma-absorcao pos-cirurgica nao classificada em outra parte,-,-,K912,S,-,-
K91.3,121,K91,Obstrucao intestinal pos-operatoria,-,-,K913,S,-,-
K91.4,121,K91,Mau funcionamento de colostomia e enterostomia,-,-,K914,S,-,-
K91.5,121,K91,Sindrome pos-colecistectomia,-,-,K915,S,-,-
K91.8,121,K91,"Outros transtornos do aparelho digestivo, pos-cirurgicos, nao classificados em outra parte",-,-,K918,S,-,-
K91.9,121,K91,Transtorno do aparelho digestivo pos procedimento,-,-,K919,S,-,-
K92,121,K92,Outras doencas do aparelho digestivo,-,-,K92,S,-,-
K92.0,121,K92,Hematemese,-,-,K920,S,-,-
K92.1,121,K92,Melena,-,-,K921,S,-,-
K92.2,121,K92,"Hemorragia gastrointestinal, sem outra especificacao",-,-,K922,S,-,-
K92.8,121,K92,Outras doencas especificadas do aparelho digestivo,-,-,K928,S,-,-
K92.9,121,K92,"Doenca do aparelho digestivo, sem outra especificacao",-,-,K929,S,-,-
K93,121,K93,Transtornos de outros orgaos digestivos em doencas classificadas em outra parte,-,*,K93,S,-,-
K93.0,121,K93,"Transtornos devido a tuberculose do intestino , do peritonio e dos ganglios do mesenterio (A18.3+)",-,*,K930,S,-,-
K93.1,121,K93,Megacolon na doenca de Chagas (B57.3+),-,*,K931,S,-,-
K93.8,121,K93,Transtornos de outros orgaos digestivos especificados em doencas classificadas em outra parte,-,*,K938,S,-,-
L00,122,L00,Sindrome da pele escaldada estafilococica do recem-nascido,-,-,L00,S,-,-
L01,122,L01,Impetigo,-,-,L01,S,-,-
L01.0,122,L01,Impetigo [qualquer localizacao] [qualquer microorganismo],-,-,L010,S,-,-
L01.1,122,L01,Impetiginizacao de outras dermatoses,-,-,L011,S,-,-
L02,122,L02,"Abscesso cutaneo, furunculo e antraz",-,-,L02,S,-,-
L02.0,122,L02,"Abscesso cutaneo, furunculo e antraz da face",-,-,L020,S,-,-
L02.1,122,L02,"Abscesso cutaneo, furunculo e antraz do pescoco",-,-,L021,S,-,-
L02.2,122,L02,"Abscesso cutaneo, furunculo e antraz do tronco",-,-,L022,S,-,-
L02.3,122,L02,"Abscesso cutaneo, furunculo e antraz da nadega",-,-,L023,S,-,-
L02.4,122,L02,"Abscesso cutaneo, furunculo e antraz do(s) membro(s)",-,-,L024,S,-,-
L02.8,122,L02,"Abscesso cutaneo, furunculo e antraz de outras localizacoes",-,-,L028,S,-,-
L02.9,122,L02,"Abscesso cutaneo, furunculo e antraz de localizacao nao especificada",-,-,L029,S,-,-
L03,122,L03,Celulite (Flegmao),-,-,L03,S,-,-
L03.0,122,L03,Celulite de dedos das maos e dos pes,-,-,L030,S,-,-
L03.1,122,L03,Celulite de outras partes do(s) membro(s),-,-,L031,S,-,-
L03.2,122,L03,Celulite da face,-,-,L032,S,-,-
L03.3,122,L03,Celulite do tronco,-,-,L033,S,-,-
L03.8,122,L03,Celulite de outros locais,-,-,L038,S,-,-
L03.9,122,L03,Celulite nao especificada,-,-,L039,S,-,-
L04,122,L04,Linfadenite aguda,-,-,L04,S,-,-
L04.0,122,L04,"Linfadenite aguda de face, cabeca e pescoco",-,-,L040,S,-,-
L04.1,122,L04,Linfadenite aguda do tronco,-,-,L041,S,-,-
L04.2,122,L04,Linfadenite aguda de membro superior,-,-,L042,S,-,-
L04.3,122,L04,Linfadenite aguda de membro inferior,-,-,L043,S,-,-
L04.8,122,L04,Linfadenite aguda de outras localizacoes,-,-,L048,S,-,-
L04.9,122,L04,Linfadenite aguda de localizacao nao especificada,-,-,L049,S,-,-
L05,122,L05,Cisto pilonidal,-,-,L05,S,-,-
L05.0,122,L05,Cisto pilonidal com abscesso,-,-,L050,S,-,-
L05.9,122,L05,Cisto pilonidal sem abscesso,-,-,L059,S,-,-
L08,122,L08,Outras infeccoes localizadas da pele e do tecido subcutaneo,-,-,L08,S,-,-
L08.0,122,L08,Piodermite,-,-,L080,S,-,-
L08.1,122,L08,Eritrasma,-,-,L081,S,-,-
L08.8,122,L08,"Outras infeccoes localizadas, especificadas, da pele e do tecido subcutaneo",-,-,L088,S,-,-
L08.9,122,L08,"Infeccao localizada da pele e do tecido subcutaneo, nao especificada",-,-,L089,S,-,-
L10,123,L10,Penfigo,-,-,L10,S,-,-
L10.0,123,L10,Penfigo vulgar,-,-,L100,S,-,-
L10.1,123,L10,Penfigo vegetante,-,-,L101,S,-,-
L10.2,123,L10,Penfigo foliaceo,-,-,L102,S,-,-
L10.3,123,L10,Penfigo brasileiro [fogo selvagem],-,-,L103,S,-,-
L10.4,123,L10,Penfigo eritematoso,-,-,L104,S,-,-
L10.5,123,L10,Penfigo induzido por drogas,-,-,L105,S,-,-
L10.8,123,L10,Outras formas de penfigo,-,-,L108,S,-,-
L10.9,123,L10,"Penfigo, nao especificado",-,-,L109,S,-,-
L11,123,L11,Outras afeccoes acantoliticas,-,-,L11,S,-,-
L11.0,123,L11,Ceratose folicular adquirida,-,-,L110,S,-,-
L11.1,123,L11,Dermatose acantolitica transitoria [Grover],-,-,L111,S,-,-
L11.8,123,L11,Outras afeccoes acantoliticas especificadas,-,-,L118,S,-,-
L11.9,123,L11,Afeccoes acantoliticas nao especificadas,-,-,L119,S,-,-
L12,123,L12,Penfigoide,-,-,L12,S,-,-
L12.0,123,L12,Penfigoide bolhoso,-,-,L120,S,-,-
L12.1,123,L12,Penfigoide cicatricial,-,-,L121,S,-,-
L12.2,123,L12,Doenca bolhosa cronica da infancia,-,-,L122,S,-,-
L12.3,123,L12,Epidermolise bolhosa adquirida,-,-,L123,S,-,-
L12.8,123,L12,Outras formas de penfigoide,-,-,L128,S,-,-
L12.9,123,L12,"Penfigoide, nao especificado",-,-,L129,S,-,-
L13,123,L13,Outras afeccoes bolhosas,-,-,L13,S,-,-
L13.0,123,L13,Dermatite herpetiforme,-,-,L130,S,-,-
L13.1,123,L13,Dermatite pustular subcorneana,-,-,L131,S,-,-
L13.8,123,L13,Outras afeccoes bolhosas especificadas,-,-,L138,S,-,-
L13.9,123,L13,"Doenca bolhosa, nao especificada",-,-,L139,S,-,-
L14,123,L14,Afeccoes bolhosas em doencas classificadas em outra parte,-,*,L14,S,-,-
L20,124,L20,Dermatite atopica,-,-,L20,S,-,-
L20.0,124,L20,Prurigo de Besnier,-,-,L200,S,-,-
L20.8,124,L20,Outras dermatites atopicas,-,-,L208,S,-,-
L20.9,124,L20,"Dermatite atopica, nao especificada",-,-,L209,S,-,-
L21,124,L21,Dermatite seborreica,-,-,L21,S,-,-
L21.0,124,L21,Seborreia do couro cabeludo,-,-,L210,S,-,-
L21.1,124,L21,Dermatite seborreica infantil,-,-,L211,S,-,-
L21.8,124,L21,Outras dermatites seborreicas,-,-,L218,S,-,-
L21.9,124,L21,"Dermatite seborreica, nao especificada",-,-,L219,S,-,-
L22,124,L22,Dermatite das fraldas,-,-,L22,S,-,-
L23,124,L23,Dermatites alergicas de contato,-,-,L23,S,-,-
L23.0,124,L23,Dermatite alergica de contato devida a metais,-,-,L230,S,-,-
L23.1,124,L23,Dermatite alergica de contato devida a adesivos,-,-,L231,S,-,-
L23.2,124,L23,Dermatite alergica de contato devida a cosmeticos,-,-,L232,S,-,-
L23.3,124,L23,Dermatite alergica de contato devido a drogas em contato com a pele,-,-,L233,S,-,-
L23.4,124,L23,Dermatite alergica de contato devida a corantes,-,-,L234,S,-,-
L23.5,124,L23,Dermatite alergica de contato devida a outros produtos quimicos,-,-,L235,S,-,-
L23.6,124,L23,Dermatite alergica de contato devida a alimentos em contato com a pele,-,-,L236,S,-,-
L23.7,124,L23,"Dermatite alergica de contato devido a plantas, exceto alimentos",-,-,L237,S,-,-
L23.8,124,L23,Dermatite alergica de contato devido a outros agentes,-,-,L238,S,-,-
L23.9,124,L23,"Dermatite alergica de contato, de causa nao especificada",-,-,L239,S,-,-
L24,124,L24,Dermatites de contato por irritantes,-,-,L24,S,-,-
L24.0,124,L24,Dermatite de contato por irritantes devida a detergentes,-,-,L240,S,-,-
L24.1,124,L24,Dermatite de contato por irritantes devido a oleos e gorduras,-,-,L241,S,-,-
L24.2,124,L24,Dermatite de contato por irritantes devida a solventes,-,-,L242,S,-,-
L24.3,124,L24,Dermatite de contato por irritantes devida a cosmeticos,-,-,L243,S,-,-
L24.4,124,L24,Dermatite de contato por irritantes devida a drogas em contato com a pele,-,-,L244,S,-,-
L24.5,124,L24,Dermatite de contato por irritantes devida a outros produtos quimicos,-,-,L245,S,-,-
L24.6,124,L24,Dermatite de contato por irritantes devida a alimentos em contato com a pele,-,-,L246,S,-,-
L24.7,124,L24,"Dermatite de contato por irritantes devido a plantas, exceto alimentos",-,-,L247,S,-,-
L24.8,124,L24,Dermatite de contato por irritantes devido a outros agentes,-,-,L248,S,-,-
L24.9,124,L24,"Dermatite de contato por irritantes, de causa nao especificada",-,-,L249,S,-,-
L25,124,L25,Dermatite de contato nao especificada,-,-,L25,S,-,-
L25.0,124,L25,Dermatite de contato nao especificada devida a cosmeticos,-,-,L250,S,-,-
L25.1,124,L25,Dermatite de contato nao especificada devida a drogas em contato com a pele,-,-,L251,S,-,-
L25.2,124,L25,Dermatite de contato nao especificada devida a corantes,-,-,L252,S,-,-
L25.3,124,L25,Dermatite de contato nao especificada devida a outros produtos quimicos,-,-,L253,S,-,-
L25.4,124,L25,Dermatite de contato nao especificada devida a alimentos em contato com a pele,-,-,L254,S,-,-
L25.5,124,L25,"Dermatite de contato nao especificada devida a plantas, exceto alimentos",-,-,L255,S,-,-
L25.8,124,L25,Dermatite de contato nao especificada devida a outros agentes,-,-,L258,S,-,-
L25.9,124,L25,"Dermatite de contato nao especificada, de causa nao especificada",-,-,L259,S,-,-
L26,124,L26,Dermatite esfoliativa,-,-,L26,S,-,-
L27,124,L27,Dermatite devida a substancias de uso interno,-,-,L27,S,-,-
L27.0,124,L27,Erupcao cutanea generalizada devida a drogas e medicamentos,-,-,L270,S,-,-
L27.1,124,L27,Erupcao cutanea localizada devida a drogas e medicamentos,-,-,L271,S,-,-
L27.2,124,L27,Dermatite devida a ingestao de alimentos,-,-,L272,S,-,-
L27.8,124,L27,Dermatite devida a outras substancias de uso interno,-,-,L278,S,-,-
L27.9,124,L27,Dermatite devida a substancia nao especificada de uso interno,-,-,L279,S,-,-
L28,124,L28,Liquen simples cronico e prurigo,-,-,L28,S,-,-
L28.0,124,L28,Liquen simples cronico,-,-,L280,S,-,-
L28.1,124,L28,Prurigo nodular,-,-,L281,S,-,-
L28.2,124,L28,Outras formas de prurigo,-,-,L282,S,-,-
L29,124,L29,Prurido,-,-,L29,S,-,-
L29.0,124,L29,Prurido anal,-,-,L290,S,-,-
L29.1,124,L29,Prurido escrotal,-,-,L291,S,-,-
L29.2,124,L29,Prurido vulvar,-,-,L292,S,-,-
L29.3,124,L29,"Prurido anogenital, nao especificado",-,-,L293,S,-,-
L29.8,124,L29,Outras formas de prurido,-,-,L298,S,-,-
L29.9,124,L29,Prurido nao especificado,-,-,L299,S,-,-
L30,124,L30,Outras dermatites,-,-,L30,S,-,-
L30.0,124,L30,Dermatite numular,-,-,L300,S,-,-
L30.1,124,L30,Disidrose [pompholyx],-,-,L301,S,-,-
L30.2,124,L30,Autossensibilizacao cutanea,-,-,L302,S,-,-
L30.3,124,L30,Dermatite infectada,-,-,L303,S,-,-
L30.4,124,L30,Intertrigo eritematoso,-,-,L304,S,-,-
L30.5,124,L30,Pitiriase alba,-,-,L305,S,-,-
L30.8,124,L30,Outras dermatites especificadas,-,-,L308,S,-,-
L30.9,124,L30,Dermatite nao especificada,-,-,L309,S,-,-
L40,125,L40,Psoriase,-,-,L40,S,-,-
L40.0,125,L40,Psoriase vulgar,-,-,L400,S,-,-
L40.1,125,L40,Psoriase pustulosa generalizada,-,-,L401,S,-,-
L40.2,125,L40,Acrodermatite continua,-,-,L402,S,-,-
L40.3,125,L40,Pustulose palmar e plantar,-,-,L403,S,-,-
L40.4,125,L40,Psoriase gutata,-,-,L404,S,-,-
L40.5,125,L40,"Artropatia psoriasica (M07.0-.3*, M09.0*)",+,-,L405,S,-,-
L40.8,125,L40,Outras formas de psoriase,-,-,L408,S,-,-
L40.9,125,L40,Psoriase nao especificada,-,-,L409,S,-,-
L41,125,L41,Parapsoriase,-,-,L41,S,-,-
L41.0,125,L41,Pitiriase liquenoide e varioliforme aguda,-,-,L410,S,-,-
L41.1,125,L41,Pitiriase liquenoide cronica,-,-,L411,S,-,-
L41.2,125,L41,Papulose linfomatoide,-,-,L412,N,-,-
L41.3,125,L41,Parapsoriase de pequenas placas,-,-,L413,S,-,-
L41.4,125,L41,Parapsoriase de grandes placas,-,-,L414,S,-,-
L41.5,125,L41,Parapsoriase retiforme,-,-,L415,S,-,-
L41.8,125,L41,Outras parapsoriases,-,-,L418,S,-,-
L41.9,125,L41,"Parapsoriase, nao especificada",-,-,L419,S,-,-
L42,125,L42,Pitiriase rosea,-,-,L42,S,-,-
L43,125,L43,Liquen plano,-,-,L43,S,-,-
L43.0,125,L43,Liquen plano hipertrofico,-,-,L430,S,-,-
L43.1,125,L43,Liquen plano bolhoso,-,-,L431,S,-,-
L43.2,125,L43,Reacao liquenoide a droga,-,-,L432,S,-,-
L43.3,125,L43,Liquen plano subagudo (ativo),-,-,L433,S,-,-
L43.8,125,L43,Outras formas de liquen plano,-,-,L438,S,-,-
L43.9,125,L43,"Liquen plano, nao especificado",-,-,L439,S,-,-
L44,125,L44,Outras afeccoes papulo-descamativas,-,-,L44,S,-,-
L44.0,125,L44,Pitiriase rubra pilar,-,-,L440,S,-,-
L44.1,125,L44,Liquen nitido,-,-,L441,S,-,-
L44.2,125,L44,Liquen estriado,-,-,L442,S,-,-
L44.3,125,L44,Liquen rubro moniliforme,-,-,L443,S,-,-
L44.4,125,L44,Acrodermatite papular infantil [Sindrome de Gianotti-Crosti],-,-,L444,S,-,-
L44.8,125,L44,Outras afeccoes papulo-descamativas especificadas,-,-,L448,S,-,-
L44.9,125,L44,"Afeccoes papulo-descamativas, nao especificadas",-,-,L449,S,-,-
L45,125,L45,Afeccoes papulo-descamativas em doencas classificadas em outra parte,-,*,L45,S,-,-
L50,126,L50,Urticaria,-,-,L50,S,-,-
L50.0,126,L50,Urticaria alergica,-,-,L500,S,-,-
L50.1,126,L50,Urticaria idiopatica,-,-,L501,S,-,-
L50.2,126,L50,Urticaria devida a frio e a calor,-,-,L502,S,-,-
L50.3,126,L50,Urticaria dermatografica,-,-,L503,S,-,-
L50.4,126,L50,Urticaria vibratoria,-,-,L504,S,-,-
L50.5,126,L50,Urticaria colinergica,-,-,L505,S,-,-
L50.6,126,L50,Urticaria de contato,-,-,L506,S,-,-
L50.8,126,L50,Outras urticarias,-,-,L508,S,-,-
L50.9,126,L50,Urticaria nao especificada,-,-,L509,S,-,-
L51,126,L51,Eritema polimorfo (eritema multiforme),-,-,L51,S,-,-
L51.0,126,L51,Eritema multiforme nao bolhoso,-,-,L510,S,-,-
L51.1,126,L51,Eritema multiforme bolhoso,-,-,L511,S,-,-
L51.2,126,L51,Necrolise epidermica toxica [Sindrome de Lyell],-,-,L512,S,-,-
L51.8,126,L51,Outras formas de eritema multiforme,-,-,L518,S,-,-
L51.9,126,L51,"Eritema multiforme, nao especificado",-,-,L519,S,-,-
L52,126,L52,Eritema nodoso,-,-,L52,S,-,-
L53,126,L53,Outras afeccoes eritematosas,-,-,L53,S,-,-
L53.0,126,L53,Eritema toxico,-,-,L530,S,-,-
L53.1,126,L53,Eritema anular centrifugo,-,-,L531,S,-,-
L53.2,126,L53,Eritema marginado,-,-,L532,S,-,-
L53.3,126,L53,Outras formas de eritema figurado cronico,-,-,L533,S,-,-
L53.8,126,L53,Outras afeccoes eritematosas especificadas,-,-,L538,S,-,-
L53.9,126,L53,"Afeccoes eritematosas, nao especificadas",-,-,L539,S,-,-
L54,126,L54,Eritema em doencas classificadas em outra parte,-,*,L54,S,-,-
L54.0,126,L54,Eritema marginado na febre reumatica aguda (I00+),-,*,L540,S,-,-
L54.8,126,L54,Eritema em outras doencas classificadas em outra parte,-,*,L548,S,-,-
L55,127,L55,Queimadura solar,-,-,L55,S,-,-
L55.0,127,L55,Queimadura solar de primeiro grau,-,-,L550,S,-,-
L55.1,127,L55,Queimadura solar de segundo grau,-,-,L551,S,-,-
L55.2,127,L55,Queimadura solar de terceiro grau,-,-,L552,S,-,-
L55.8,127,L55,Outras queimaduras solares,-,-,L558,S,-,-
L55.9,127,L55,"Queimadura solar, nao especificada",-,-,L559,S,-,-
L56,127,L56,Outras alteracoes agudas da pele devidas a radiacao ultravioleta,-,-,L56,S,-,-
L56.0,127,L56,Resposta fototoxica a drogas,-,-,L560,S,-,-
L56.1,127,L56,Resposta fotoalergica a drogas,-,-,L561,S,-,-
L56.2,127,L56,Dermatite por fotocontato [dermatite do berloque],-,-,L562,S,-,-
L56.3,127,L56,Urticaria solar,-,-,L563,S,-,-
L56.4,127,L56,Erupcao polimorfa a luz,-,-,L564,S,-,-
L56.8,127,L56,Outras alteracoes agudas especificadas da pele devidas a radiacao ultravioleta,-,-,L568,S,-,-
L56.9,127,L56,"Alteracoes agudas da pele devidas a radiacao ultravioleta, nao especificadas",-,-,L569,S,-,-
L57,127,L57,Alteracoes da pele devidas a exposicao cronica a radiacao nao ionizante,-,-,L57,S,-,-
L57.0,127,L57,Ceratose actinica,-,-,L570,S,-,-
L57.1,127,L57,Reticuloide actinica,-,-,L571,S,-,-
L57.2,127,L57,Cutis romboidal da nuca,-,-,L572,S,-,-
L57.3,127,L57,Poiquilodermia de Civatte,-,-,L573,S,-,-
L57.4,127,L57,Cutis laxa senil,-,-,L574,S,-,-
L57.5,127,L57,Granuloma actinico,-,-,L575,S,-,-
L57.8,127,L57,Outras alteracoes da pele devidas a exposicao cronica a radiacao nao-ionizante,-,-,L578,S,-,-
L57.9,127,L57,"Alteracoes da pele devidas a exposicao cronica a radiacao nao-ionizante, nao especificadas",-,-,L579,S,-,-
L58,127,L58,Radiodermatite,-,-,L58,S,-,-
L58.0,127,L58,Radiodermatite aguda,-,-,L580,S,-,-
L58.1,127,L58,Radiodermatite cronica,-,-,L581,S,-,-
L58.9,127,L58,"Radiodermatite, nao especificada",-,-,L589,S,-,-
L59,127,L59,Outras afeccoes da pele e do tecido subcutaneo relacionadas com a radiacao,-,-,L59,S,-,-
